Yr,Mo,Date,RequestorTeams,Product,ActivityHead,GLHead,TotalAmount,FiscalYear
2020,1,2020-01-01,DIGITAL MARKETING,Avsar,Advertisment (W/O Doctor),Advertisement In Magazine & Others - S&D,2027.0,FY19-20
2020,1,2020-01-01,DIGITAL MARKETING,Corporate Account Ad Pro,A&P JAHAN E MASEEHA,A&P Jahan E Maseeha,690.0,FY19-20
2020,1,2020-01-01,DIGITAL MARKETING,Inosita,Advertisment (W/O Doctor),Advertisement In Magazine & Others - S&D,10000.0,FY19-20
2020,1,2020-01-01,DIGITAL MARKETING,INOSITA PLUS XR,Advertisment (W/O Doctor),Advertisement In Magazine & Others - S&D,1000.0,FY19-20
2020,1,2020-01-01,X-TREME,Xplended,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,60000.0,FY19-20
2020,1,2020-01-01,X-TREME,Xplended 20,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,25000.0,FY19-20
2020,1,2020-01-02,CHALLENGERS,ANPLAG,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,25000.0,FY19-20
2020,1,2020-01-02,CHALLENGERS,Avsar Plus,RTD (W/O Doctor),Social / Cultural / Educational Program  - S&D,20000.0,FY19-20
2020,1,2020-01-02,MAVERICKS,REKLAIM,Presentations (W/O Doctor),Seminars / Symposium / Video Shows - S&D,12000.0,FY19-20
2020,1,2020-01-03,Unknown,Duzalta,Equipment Medical & Other (With Doctor),Equipments - S&D,57500.0,FY19-20
2020,1,2020-01-03,BRAVO,Xcept,Presentations (W/O Doctor),Seminars / Symposium / Video Shows - S&D,60000.0,FY19-20
2020,1,2020-01-03,ELITE,Kalsob,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,4800.0,FY19-20
2020,1,2020-01-03,ELITE,Opt-D,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,4800.0,FY19-20
2020,1,2020-01-03,MAVERICKS,Telsarta-A,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,14000.0,FY19-20
2020,1,2020-01-06,Unknown,Avsar,Screening (With Doctor),Screening - S&D,150000.0,FY19-20
