RequestTransferBudgetId,FromProductId,FromGLHeadId,ToProductId,ToGLHeadId,Amount,Remarks,StatusId,CreatedBy,CreatedDate,SendToFLMDate
1,58,11,58,10,1500000.0,,1,1987,2017-06-21 16:04:39.607,
2,1,12,1,7,600000.0,,1,1987,2017-06-21 16:05:28.703,
3,46,11,46,7,100000.0,For Zoval SAMPLES,1,1980,2017-06-22 15:08:27.420,
4,58,13,58,2,500000.0,,1,1987,2017-06-29 17:40:03.020,
5,58,13,55,1,140000.0,,1,1987,2017-06-29 17:43:13.210,
6,58,13,55,7,475000.0,,1,1987,2017-06-29 17:45:50.187,
7,58,13,55,2,410000.0,,1,1987,2017-06-29 17:47:12.637,
8,58,13,1,2,225000.0,,1,1987,2017-06-29 17:50:51.193,
9,58,13,58,14,133000.0,,1,1987,2017-06-29 17:52:53.880,
10,58,13,61,1,400000.0,,1,1987,2017-06-29 17:58:08.570,
11,25,7,4,4,200000.0,Budget deficit in AVSAR Book head will manage for Dr Naeem Malik activity,1,1984,2017-10-03 10:36:51.970,
12,3,7,3,13,50000.0,,1,2104,2017-10-03 17:03:55.887,
13,49,7,49,13,200000.0,,1,2013,2017-10-03 17:11:44.253,
14,55,7,55,2,500000.0,,1,2184,2017-10-03 17:31:09.463,
15,52,4,52,10,400000.0,Please Transfer Urgently,1,1989,2017-10-03 21:06:50.270,
16,52,2,52,10,500000.0,Please Transfer Urgently,1,1989,2017-10-03 21:07:53.393,
17,52,3,52,10,500000.0,Please Transfer Urgently,1,1989,2017-10-03 21:11:29.377,
18,52,3,52,7,400000.0,Please Transfer Urgently,1,1989,2017-10-03 21:13:32.440,
19,87,15,87,13,1000000.0,PLease Proceed,1,1993,2017-10-05 00:42:22.640,
20,87,14,87,13,1000000.0,PLease Proceed,1,1993,2017-10-05 00:43:30.180,
21,12,8,87,13,500000.0,PLease Proceed,1,1993,2017-10-05 00:44:30.600,
22,12,8,87,10,500000.0,PLease Proceed,1,1993,2017-10-05 00:45:49.973,
23,27,5,51,5,36000.0,,1,1986,2017-10-05 14:44:08.293,
24,12,13,87,10,1000000.0,PLease Proceed,1,1993,2017-10-05 15:08:35.627,
25,57,14,57,13,600000.0,,1,835,2017-10-05 16:44:43.513,
26,12,7,87,9,200000.0,PLease Proceed,1,1993,2017-10-06 10:14:02.537,
27,54,4,54,13,50000.0,,1,1989,2017-10-06 18:58:09.380,
28,54,2,54,13,350000.0,Please Transfer Urgently,1,1989,2017-10-06 19:00:17.837,
