Yr,Mo,TotalAmount,TotalRevenue,ROI
2022,7,59408629.0,890906893.9246317,14.996254061419794
2022,8,57160887.0,914200340.1109015,15.993459655566602
2022,9,55015072.0,956772906.7628719,17.3911052368135
2022,10,37584361.0,952635619.4087718,25.34659613898376
2022,11,48438123.0,947788214.9330016,19.566988897009935
2022,12,34727223.0,988475270.8203015,28.463988347709275
2023,1,43842907.0,974287677.1136012,22.222241721188816
2023,2,47358671.0,981175712.0292011,20.717973948829798
2023,3,51228675.0,1041147980.9990015,20.323539131140937
2023,4,23162073.0,876900478.0997404,37.85932623991559
2023,5,33893131.0,1037960883.9623002,30.624520465881425
2023,6,24564366.0,987761861.2236402,40.2111685367186
2023,7,94356150.0,1073249877.0958003,11.374456006267746
2023,8,104844795.0,1216574572.9424002,11.60357624756098
2023,9,91909839.0,1217085764.1842,13.242170560044176
2023,10,92445994.0,1243944315.3841,13.455902863504285
2023,11,78791893.0,1274832787.5452502,16.179745643949058
2023,12,59281864.0,1310332744.4122503,22.103433596694096
2024,1,108604836.0,1597267589.7045002,14.707149778344126
2024,2,59677230.0,1556888092.6461997,26.08847784399845
2024,3,58620841.0,1640242854.1611,27.980541155339274
2024,4,38789270.0,1511680967.08428,38.97162712998414
2024,5,67388038.0,1664982801.8133996,24.707393941538996
2024,6,82021802.0,1583240552.6797004,19.302679459294254
2024,7,213754327.0,1688273627.0839002,7.898196264742282
2024,8,142500090.0,1753008428.8157005,12.30180576598724
2024,9,109039164.0,1770276754.0089006,16.235237772080687
2024,10,164906792.0,1888888408.0694609,11.454279021263483
2024,11,111023490.0,1797403426.3435807,16.189397634172558
2024,12,95316606.0,1811569333.524831,19.005810315201856
2025,1,139489531.0,1909024114.7265809,13.685787750813937
2025,2,96157210.0,1825102739.3279715,18.980404478540628
2025,3,61196196.0,1845320733.3029509,30.154173852619056
2025,4,62721842.0,1816588860.7458513,28.96261976403453
2025,5,59322257.0,1990822128.0925407,33.559446804131895
2025,6,122129684.0,1834016858.9616013,15.016962288722546
2025,7,391311489.0,2057255141.2672012,5.257333860870109
2025,8,210520476.0,2002366747.0488007,9.511505888143635
2025,9,131448444.0,2061610226.9382012,15.683793312442718
2025,10,214829263.0,2136010322.4374008,9.94282758600443
2025,11,149538499.0,2002118689.229001,13.388650431946632
2025,12,131663441.0,2141509799.931401,16.265029864527094
2026,1,199625641.0,2083333220.052901,10.436200528232247
2026,2,124569751.0,2063773910.7368014,16.567215509139142
2026,3,87927682.0,1993391452.5797212,22.67080636311692
2026,4,91652942.0,2111191917.034201,23.034633378535748
2026,5,30966692.0,434279992.79069996,14.024100242631663
