ProductName,Recent3MoAvg,Prev3MoAvg,DeclinePct,RiskLevel
LACTEUS LF,0.0,2220.0,-100.0,High
Ferfer Gro,0.0,421.32,-100.0,High
AXIFER,0.0,1416.6666666666667,-100.0,High
REKLAIM,0.0,167.09333333333333,-100.0,High
HIFAZAT,0.0,2586.276333333333,-100.0,High
LACTEUS MAMA,0.0,7810.083333333333,-100.0,High
LACTEUS 1,0.0,4773.0,-100.0,High
MFIT,0.0,7323.12,-100.0,High
LACTEUS 3,0.0,4375.25,-100.0,High
LACTEUS AR,0.0,11022.916666666666,-100.0,High
Phytus,39653.15,575969.174,-93.11540412404085,High
Evo Joshanda,1020.0,9520.0,-89.28571428571429,High
Aircare,145.29999999999998,1307.6999999999998,-88.8888888888889,High
Ivadin,1071.0,6307.0,-83.01886792452831,High
Omron BPM Wrist,308847.3466666666,1251627.6581666667,-75.32434309425108,High
Omron ETB,110434.7538,285154.9658333333,-61.27202152090641,High
Omron Nebulizer,502047.50200000004,1291051.6229,-61.11328988748836,High
Itipso,707416.0133333333,1772018.8566666667,-60.07852790776453,High
Forsonide,110490.81999999999,261196.5,-57.69820039701909,High
Erlina Plus XR,2764996.097000001,6393173.769000004,-56.75080645535948,High
Stevo,138780.1906666667,284981.6469333333,-51.30206026946992,High
Iprazyme-S,2003620.8500000003,3933691.766666667,-49.06512841249305,High
Actnise,1242088.5108999999,2408144.048833333,-48.421336692804935,High
Treatan-D,840459.3616666667,1478072.3333333333,-43.13814400603308,High
UriTreat,830600.1666666666,1438851.6666666667,-42.273398578264384,High
Iprazyme,1313172.6500000001,2272190.3350000004,-42.20674959432921,High
Omron BPM,19178532.012333315,33053489.37086666,-41.97728476668103,High
Arbi-A,745128.1098333335,1254261.7740333336,-40.592296978227864,High
Bempion,479083.80000000005,799009.4066666666,-40.04028037684094,High
Dapwiz Plus XR,1587131.2511666666,2610504.7401666674,-39.20213103825522,High
Telsarta-D,4727023.853333333,7738377.377,-38.914534365007974,High
Orslim,36151087.909666665,58974426.6395,-38.70039952969492,High
Tiocap,3478829.0,5543755.079999999,-37.2477869278453,High
Aireez,11080276.15,17516529.677333336,-36.7438850382673,High
Evofix,2202797.78,3464662.7300000004,-36.42100395728852,High
Galvecta,347540.06666666665,542589.7933333333,-35.947916651436216,High
Klevra XR,281495.63333333336,438422.6333333333,-35.79354441783304,High
Zilfom,747801.9500000001,1154465.9483333335,-35.22529173947673,High
Aircare Plus,683294.8464,1051608.0774,-35.0238115240251,High
Sparliv,2317058.650066666,3560534.2483999985,-34.92384882667861,High
Busonide,12096821.239633331,18302509.626000002,-33.90621566755553,High
Estar,38097433.82889997,57610273.90869995,-33.87041712511849,High
K-1000,11664300.618833316,17484500.722599965,-33.28776838473645,High
Diu Tansin,1480066.820833333,2214652.3758333335,-33.169339035594206,High
Paridopa,7258569.2055,10819209.097500002,-32.91035287249194,High
Vanzak,3519684.604166666,5241376.917633333,-32.8480920285365,High
Xilica,9542469.23886667,14207169.459533343,-32.833424236638145,High
Opt-D,26308860.074366648,38974879.1126333,-32.497904616107185,High
Vible,5283962.899599996,7779460.8128999965,-32.078031798321234,High
Duzalta,12930128.207933329,18991863.375466652,-31.917537777592504,High
