ProductName,AvgRecent6Mo,AvgAllTime,TrendFactor,Forecast6Mo
X-Plended,168185100.44475067,134732539.61013633,1.2482886534419455,1009110602.668504
Avsar,156220509.70750156,118127258.08352663,1.322476388955372,937323058.2450094
Inosita Plus,122745310.5185839,111466887.32487486,1.1011818259609025,736471863.1115034
Lowplat Plus,102051846.29155093,95344679.9646624,1.0703465188553196,612311077.7493056
Lowplat,81042523.65694775,70646149.56054123,1.147161227626386,486255141.9416865
Gouric,77643256.16250001,70413681.01798084,1.1026728760661302,465859536.975
Nise,55885260.37816739,52869883.18201323,1.0570339296149611,335311562.26900434
BD SYRINGE - BAG,55144809.88593334,50922391.365793616,1.0829187005340852,330868859.31560004
Orslim,47562757.27458334,48713921.05321278,0.9763688950973181,285376543.64750004
Xcept,43845728.367916666,40570203.363644674,1.0807372093975556,263074370.20749998
Estar,47853853.86879996,40407599.3966553,1.1842785659957078,287123123.2127998
Avsar Plus,51964622.62839969,38811436.19716791,1.3388997604832664,311787735.77039814
Sacvin,50904759.99443347,35591732.32565541,1.4302411450127717,305428559.96660084
Ramipace,28885914.717183124,31778816.622544527,0.9089676012885539,173315488.30309874
Opt-D,32641869.593499973,26525192.03904468,1.2305988037881739,195851217.56099984
Anplag,42611029.08241666,23977837.738470215,1.7771005687494172,255666174.49449998
Byvas,30372836.443749797,21707568.918563757,1.3991818502428306,182237018.66249877
Kalsob,28845200.201399833,20772620.231333975,1.3886163555760271,173071201.208399
Evopride Plus,20209152.656783175,20765149.385478616,0.9732245254597466,121254915.94069904
EvoCheck,15194885.16963333,19989578.950353183,0.760140331488316,91169311.01779999
Omron BPM,26116010.69159999,18952067.15345745,1.3780032795438681,156696064.14959994
Telsarta-A,18760100.298399966,18375227.130010623,1.0209452196517759,112560601.79039979
Ad Folic OD,19370030.93458325,17261470.87448292,1.1221541359616896,116220185.60749951
X-Plended EZ,26794699.419250052,16021394.246891122,1.672432436674445,160768196.5155003
Duzalta,15960995.79169999,14466362.064861692,1.1033178708051772,95765974.75019994
Evopride,14214585.72105001,13971796.270643618,1.0173771106952454,85287514.32630005
Erli,20482563.03966662,13912086.797436167,1.4722854549355826,122895378.23799971
Ferfer,15922200.562249938,13781718.666455274,1.1553131323892571,95533203.37349963
Erlina,24253017.252333313,16112712.534020515,1.5052100756545672,145518103.51399988
Erli Plus XR,13331703.839833306,13161223.726216998,1.0129532114309943,79990223.03899984
