Yr,Mo,ProductName,Revenue,Units,Discount,FiscalYear
2022,7,AXIFER,930579.98,1080.0,216920.02000000002,FY22-23
2022,7,Actiflor,3875502.8871999946,10742.0,6226.2328,FY22-23
2022,7,Actnise,2069270.4539,8188.0,18669.5461,FY22-23
2022,7,Ad Folic,6962774.457800007,27513.0,33231.182199999996,FY22-23
2022,7,Ad Folic OD,10610639.932700051,26626.0,67184.8473,FY22-23
2022,7,Agoviz,1910540.835,3582.0,7620.165,FY22-23
2022,7,Aireez,496968.055,1057.0,2384.845,FY22-23
2022,7,Anex-M,1302408.25,5896.0,607.75,FY22-23
2022,7,Anplag,8289478.822800012,8443.0,170075.0972,FY22-23
2022,7,Arbi,3511172.9188000066,12827.0,17202.6812,FY22-23
2022,7,Arbi-D,6664745.179400011,21411.0,31125.350599999998,FY22-23
2022,7,Avsar,63010173.561600894,196606.0,241609.9884,FY22-23
2022,7,Avsar Plus,20567083.97009999,67031.0,56910.6599,FY22-23
2022,7,Azliv,1078645.7425,6573.0,3255.5074999999997,FY22-23
2022,7,BD PEN NEEDLE,1136916.1683999998,119713.0,13542.4516,FY22-23
2022,7,BD SYRINGE - BAG,45748856.25399996,2264569.0,1557512.5959999997,FY22-23
2022,7,Byvas,7507966.4604000095,44527.0,25314.459600000002,FY22-23
2022,7,Dapwiz,2491737.94,12929.0,15779.06,FY22-23
2022,7,Dipof,915754.9692000002,4585.0,6442.3308,FY22-23
2022,7,Diu Tansin,1572283.7527999973,9389.0,7697.1672,FY22-23
2022,7,Duzalta,7401338.769999999,20619.0,84602.73,FY22-23
2022,7,EVOTIZER,29423.25,300.0,35961.75,FY22-23
2022,7,Eglaro,8938.09,26.0,34.51,FY22-23
2022,7,Eglaro-S,8925.64,18.0,24.86,FY22-23
2022,7,Erli,6230978.8385,19870.0,24383.6615,FY22-23
2022,7,Erli Plus XR,7506465.509999991,21921.0,41228.490000000005,FY22-23
2022,7,Estar,22545456.809700005,88357.0,206164.8803,FY22-23
2022,7,Evo Joshanda,310578.6955999999,1299.0,20666.304399999997,FY22-23
2022,7,EvoCheck,23694875.6668,15009.0,5256747.2332,FY22-23
2022,7,Evocheck M BGM,29920.0,22.0,0.0,FY22-23
2022,7,Evofix,1441919.525,5708.0,39417.975,FY22-23
2022,7,Evokalm,3736041.4924999997,20022.0,54699.2575,FY22-23
2022,7,Evokalm XR,1092494.156,2777.0,14554.344,FY22-23
2022,7,Evopravir,22663.125,12.0,286.875,FY22-23
2022,7,Evopride,10581863.5425,30340.0,43884.457500000004,FY22-23
2022,7,Evopride Plus,16261998.452099992,63825.0,49925.6979,FY22-23
2022,7,FORMIS,1307.6999999999998,3.0,0.0,FY22-23
2022,7,Fasteso,1710196.1452999995,8215.0,19459.954700000002,FY22-23
2022,7,Femova,5450457.785100003,7940.0,29492.014900000002,FY22-23
2022,7,Ferfer,7544534.495400017,16548.0,29319.624599999996,FY22-23
2022,7,Ferfer Gro,1969183.477700002,5672.0,8756.3623,FY22-23
2022,7,Galvecta,750359.8409999998,3024.0,3402.399,FY22-23
2022,7,Galvecta Plus,7550462.53009998,21289.0,34065.8099,FY22-23
2022,7,Gouric,49608310.645,114260.0,329244.605,FY22-23
2022,7,HIFAZAT,8529.28,72.0,0.0,FY22-23
2022,7,IBANDRO,1422524.5275,3216.0,12615.4725,FY22-23
2022,7,Inosita,8610961.915499998,12401.0,62407.1445,FY22-23
2022,7,Inosita Plus,70318673.7855003,119123.0,483339.3145,FY22-23
2022,7,Ivadin,1589682.92,6715.0,8487.08,FY22-23
2022,7,K-1000,5492226.641499992,12661.0,26703.2585,FY22-23
2022,7,Kalsob,10175897.634700006,22717.0,56293.5053,FY22-23
2022,7,Klevra,4705045.9300999995,6111.0,48784.1299,FY22-23
2022,7,Klevra XR,259794.0,574.0,3672.0,FY22-23
2022,7,LACTEUS 1,2754474.4375,2328.0,23411.5625,FY22-23
2022,7,LACTEUS 2,1834741.19,1582.0,52980.310000000005,FY22-23
2022,7,LACTEUS AR,1144311.0250000001,886.0,27645.475,FY22-23
2022,7,LACTEUS GROW 3,535148.76,461.0,14939.490000000002,FY22-23
2022,7,LACTEUS LF,522610.2,409.0,22177.8,FY22-23
2022,7,LIMITROL,892.5,7.0,0.0,FY22-23
2022,7,Lowplat,47723479.92890059,289524.0,349085.0311000001,FY22-23
2022,7,Lowplat Plus,62098874.49030021,351181.0,347340.12970000005,FY22-23
2022,7,MFIT,372307.43460000004,307.0,2392.2054,FY22-23
2022,7,MYOPRO,938.8199999999999,4.0,0.0,FY22-23
2022,7,NEBULIZERS,102539.3827,18.0,28913.5573,FY22-23
2022,7,Neo Q 10,1741368.1368000002,2009.0,11128.6232,FY22-23
2022,7,Nise,29547020.830000002,232317.0,73396.67,FY22-23
2022,7,Omron BPM,9357554.494800001,1569.0,2091728.0052,FY22-23
2022,7,Omron BPM Wrist,168611.44939999998,30.0,24824.3506,FY22-23
2022,7,Omron ETB,314641.2068,316.0,52900.1532,FY22-23
2022,7,Omron Weigh Scale,169234.3921,43.0,34816.9979,FY22-23
2022,7,Onita,6678572.145,8714.0,61706.854999999996,FY22-23
2022,7,Opt-D,12399418.629200043,79894.0,141124.84079999998,FY22-23
2022,7,Orslim,24196215.599999998,15947.0,202694.4,FY22-23
2022,7,Oxivort,1001477.225,3049.0,5738.775,FY22-23
2022,7,Paridopa,3797843.452,3994.0,20994.048000000003,FY22-23
2022,7,Phytus,2225587.608,7614.0,39577.392,FY22-23
2022,7,REKLAIM,642545.7182999998,1287.0,2601.6416999999997,FY22-23
2022,7,Ramipace,24732008.903799977,61187.0,119215.0262,FY22-23
2022,7,Redexa,3090624.318500001,6421.0,26853.5315,FY22-23
2022,7,Retzole,1621659.75,1277.0,6515.25,FY22-23
2022,7,Revolic,802069.9483000003,2311.0,3821.9717,FY22-23
2022,7,SPEDICAM,500883.27840000007,3950.0,1082.7216,FY22-23
2022,7,Sacvin,16227247.835999964,14531.0,88406.65400000001,FY22-23
2022,7,SheVit,2679262.0034999982,8699.0,6641.2365,FY22-23
2022,7,Supercran,1390993.2323,4802.0,4467.9677,FY22-23
2022,7,Tansin,3939627.5739000146,23902.0,19836.4361,FY22-23
