ProductName,Revenue,Promo,ROI
Xcept,1906799558.0912998,27805042.0,68.57747447715776
Gouric,3309443007.8451,72408667.0,45.70506743129383
Orslim,2289554289.501,56268521.0,40.68978975830909
Voxamine,312156989.0784999,9823308.0,31.7771761893753
Treatan,516537970.20224005,16686517.0,30.95540970007342
Telsarta-A,863635675.1104994,30706722.0,28.125296966263587
Evofix,192651220.5092,7261058.0,26.53211426064907
Evopride,656674424.7202501,25501076.0,25.750851639368086
Ramipace,1493604381.259593,59548392.0,25.082195019801592
Lowplat,3320369029.345438,140325234.25,23.66195251404284
Lowplat Plus,4481199958.339133,196382894.25,22.818687826417616
Inosita Plus,5238943704.269118,231255923.0,22.65431144986984
Evopride Plus,975962021.1174951,43126535.0,22.63019788437664
Inosita,610227358.2681992,30730063.0,19.85766701058176
Erlina,628395788.8268001,36683783.0,17.13007049536849
Telsarta,350904285.08290005,22118847.0,15.864492624000702
Ferfer,647740777.323398,40914911.0,15.83141112841228
Erli Plus XR,618577515.1321989,42431789.0,14.578162498220355
Zoltar,349655065.85719997,24084794.0,14.517668943201256
Avsar,5551981129.925752,418444094.0,13.26815507623284
Estar,1899157171.642799,143475480.0,13.236806537554703
Nise,2484884509.554621,188438257.0,13.186730492601729
Actiflor,188612819.42399997,14965121.0,12.603494447121408
Klevra,337528423.94210017,27011103.0,12.495914141014536
Xilica,506554814.3567001,44557760.0,11.368498200014994
Onita,540037086.4865,48261678.0,11.189770204146239
Zibes,211943519.99124962,19832993.0,10.686411273943857
Duzalta,679919017.0484998,64989931.0,10.461913200807981
Thewril,154621379.3272,15018766.0,10.295211958638944
SheVit,292308954.21200055,28490284.0,10.259952277485214
Kalsob,976313150.8726971,95188959.0,10.256579766490535
Erli Plus,335357733.94600004,33086526.0,10.135779560114592
Ferfer Gro,92308364.25210015,9187330.0,10.047354808426403
Oxivort,30524350.2125,3052404.0,10.000101628912818
Aireez,471098594.2292,48594477.0,9.694488413347878
Fasteso,125340337.4189,13095688.0,9.571115119640908
Opt-D,1246684025.8351,133137909.0,9.363854631629373
Avsar Plus,1824137501.2668917,200163009.0,9.113259789509318
Stevo,34929601.83280001,3922410.0,8.905137870033986
Arbi,190282555.17750013,23121973.0,8.22951203937052
Phytus,73592923.91770001,9072875.0,8.111312447013765
Erlina Plus XR,92093380.02985008,11869988.0,7.758506582302364
Redexa,171844273.77450004,22196737.0,7.741870968444598
Azliv,24761603.879499998,3222451.0,7.684090116343119
Itipso,42709455.47,5612000.0,7.610380518531717
Evokalm,336567514.02599967,45444143.0,7.40618024254522
Retzole,171148447.75,24509018.0,6.9830805848688025
Revolic,45706531.49149999,6806207.0,6.7154189538314055
Dipof,84882755.84560001,13203802.0,6.428660157551591
Histalis,80489486.29910001,12674760.0,6.3503755731153895
Dapwiz,286939097.9049,50779564.0,5.650680614447576
Vible,218887856.02929983,39993599.0,5.47307222911596
Busonide,436385995.3437999,86728836.0,5.031613653200648
Tiocap,120605823.5895,25832274.0,4.6688039771295395
Zilfom,61451111.6275,15990168.0,3.8430560346520437
Galvecta,30973352.357999995,14946145.0,2.072330514523979
Dapwiz Plus XR,73109210.10950002,36916959.0,1.9803692419383736
