TeamName,Revenue,Products,Months,RevenuePerMonth,Score
Alpha,5688137558.329561,3,12,474011463.0,92.0
Aviators,23980278.24,1,7,3425754.0,8.0
BD,2506491622.5971,2,12,208874302.0,48.0
Bone Saviors,3615819039.754518,3,12,301318253.0,68.0
Bravo,4384805138.837691,3,12,365400428.0,80.0
Challengers,9593312900.38129,3,12,799442742.0,100.0
Champions,5376623107.113893,5,12,448051926.0,88.0
Conqueror,71697354.8675,1,12,5974780.0,12.0
Discontinued,241324757.9392,48,12,20110396.0,16.0
Elite,2790594283.1891,5,12,232549524.0,60.0
Falcons,1673972662.6708996,6,12,139497722.0,36.0
Gladiators,2671021436.156196,7,12,222585120.0,52.0
Legends,5869899619.74603,5,12,489158302.0,96.0
Mavericks,2231870694.9335985,8,12,185989225.0,40.0
Metabolizers,5258975824.555758,5,12,438247985.0,84.0
Navigators,2291825428.082249,8,12,190985452.0,44.0
Omron,971713590.2648,6,12,80976133.0,28.0
Scitech,4105.5,4,10,411.0,4.0
Strikers,720507398.2963998,5,12,60042283.0,24.0
Thunder,1231900900.7329,13,12,102658408.0,32.0
Thunderbolt,342579021.99249995,6,12,28548252.0,20.0
Titans,2674642313.992,6,12,222886859.0,56.0
Transformer,3629269915.211199,6,12,302439160.0,72.0
Warriors,3585960794.5191994,7,12,298830066.0,64.0
Winners,4195143151.670544,7,12,349595263.0,76.0
