ProductName,TotalRevenue,TotalPromoSpend,ROI
Actiflor,185360037.67369995,14965121.0,12.38613691621337
Aireez,473973645.04725003,48594477.0,9.753652561118212
Arbi,181650385.60830012,23121973.0,7.85618016283905
Avsar,5561321161.163442,418444094.0,13.290475934315474
Avsar Plus,1808240766.6711917,200163009.0,9.033840846543187
Azliv,23968308.441699997,3222451.0,7.437912459087817
Busonide,436184450.4977999,86728836.0,5.02928980273412
Dapwiz,284029447.82670003,50779564.0,5.593380987412575
Dapwiz Plus XR,67102808.69630002,36916959.0,1.817668911903064
Dipof,86207126.88030002,13203802.0,6.528962406456869
Duzalta,670819660.7763999,64989931.0,10.321901415411563
Erli Plus,329562665.7591,33086526.0,9.960630673619226
Erli Plus XR,605231894.9001989,42431789.0,14.263643112012057
Erlina,626536355.0558001,36683783.0,17.079382326948124
Erlina Plus XR,90780782.77590008,11869988.0,7.647925404465454
Estar,1901571001.176899,143475480.0,13.25363052402333
Evofix,188198545.7992,7261058.0,25.918887550436864
Evokalm,333056376.7546997,45444143.0,7.328917540698252
Evopride,626467922.8056501,25501076.0,24.566332918879585
Evopride Plus,969393390.302395,43126535.0,22.477887228881126
FORMIS,-173871.79200000002,157000.0,-1.1074636433121021
Fasteso,121956431.5986,13095688.0,9.312716643722728
Ferfer,654263388.175198,40914911.0,15.990830046659468
Ferfer Gro,92060474.27390017,9187330.0,10.020373087055779
Forsonide,7455525.27,5896030.0,1.2644992087896432
Galvecta,28389049.206599995,14946145.0,1.8994228415822272
Gouric,3311597716.5081,72408667.0,45.73482503839078
Histalis,80762359.28150001,12674760.0,6.371904421188252
Inosita,584588772.2287992,30730063.0,19.02335091954739
Inosita Plus,5210994633.245328,231255923.0,22.533453697725736
Itipso,44344975.235,5612000.0,7.901813120990734
Kalsob,993298780.645797,95188959.0,10.435020942353168
Klevra,326401137.4928002,27011103.0,12.083961824617091
Lowplat,3332320638.652498,140325234.25,23.747123291565057
Lowplat Plus,4487072628.685133,196382894.25,22.84859201114016
MFIT,-683359.5547000001,1708400.0,-0.39999973934675725
Nise,2513366357.556321,188438257.0,13.337877337489495
Onita,543712337.6157,48261678.0,11.26592278071434
Opt-D,1252947115.75982,133137909.0,9.410896754881586
Orslim,2315635941.015,56268521.0,41.153310942987105
Oxivort,27528436.57489,3052404.0,9.018608472171442
Phytus,67581448.9691,9072875.0,7.448735816276538
REKLAIM,6436705.4662,2136088.0,3.013314744617263
Ramipace,1486774442.285193,59548392.0,24.967499412665802
Redexa,169890202.15540004,22196737.0,7.653836784902215
Retzole,168531082.7,24509018.0,6.876288666481863
Revolic,44584690.052499995,6806207.0,6.550592724038513
SheVit,299111882.77460057,28490284.0,10.498732928552084
Stevo,28805847.014000006,3922410.0,7.34391535153133
Supercran,50823017.8749,420645.0,120.82163790108048
Telsarta,340824115.05020005,22118847.0,15.408764979937699
Telsarta-A,847704971.2865994,30706722.0,27.606495127894128
Thewril,157126826.2445,15018766.0,10.46203304882039
Tiocap,120587172.59187,25832274.0,4.6680819734209225
Treatan,499485703.8102401,16686517.0,29.933490842351347
UFI,1225608.285,2730042.0,0.4489338570615397
Vible,219549345.64429983,39993599.0,5.489612116286405
Voxamine,306474256.1958999,9823308.0,31.198681360281068
Xcept,1895226197.1084998,27805042.0,68.16124201892951
Xilica,495372024.6160001,44557760.0,11.117525311326245
Zibes,210064035.8731496,19832993.0,10.591645742684909
Zilfom,60332783.1769,15990168.0,3.7731175292779913
Zoltar,363302545.2453,24084794.0,15.08431192084516
