City,Revenue,Qty,SDPs
Lahore,3593783871.09,11454454.0,1
Peshawar,2597234698.7,8437800.0,1
Korangi,2061475599.83,9420710.0,1
Rawalpindi,1957265010.27,6193270.0,1
Faisalabad,1606882105.67,5205517.0,1
Fb Area,1598506036.09,7787178.0,1
Swat,1491734654.94,5068739.0,1
Islamabad,1273493400.17,3791561.0,1
Multan,1141522617.96,3867455.0,1
Quetta,1115516680.92,3739111.0,1
Hyderabad,1062657418.5600001,3603637.0,1
Sialkot,873960538.28,2923007.0,1
Mardan,835957148.08,2841224.0,1
Gujranwala,811335668.48,2586640.0,1
Fateh Garh-Lh,808249726.93,2671038.0,1
S.I.T.E Area,806523327.38,4112525.0,1
Sargodha,806386502.8100001,2725624.0,1
Bannu,779133459.95,2610608.0,1
Jhang,775049727.7,2596758.0,1
Sukkur,723378928.09,2464738.0,1
R.Y.Khan,629861293.12,2101950.0,1
Sahiwal,616244823.47,2100924.0,1
D.G.Khan,603135786.93,1934426.0,1
Larkana,584194493.95,2060955.0,1
Jhelum,574498529.95,2005845.0,1
Nawabshah,545974634.28,1911033.0,1
Atif Distributor,530033782.35,1669493.0,1
Sheikhupura,522427904.45,1735442.0,1
Bahawalpur,521323087.99,1622040.0,1
Kohat,518557858.09,1561736.0,1
Timergara,493908049.92,1510425.0,1
Muzaffarabad,486133845.33,1769271.0,1
Abbottabad,464514916.75,1447470.0,1
Gujrat,449066986.86,1425693.0,1
Hassan Abdal,447275701.97,1449229.0,1
Mansehra,437327800.89,1455577.0,1
Swabi,420904911.55,1372239.0,1
Life Line Distributors,398467824.023,2259207.724,1
D.I.Khan,392958064.55,1297708.0,1
Ali Hajvery Pharma,370035126.45,1124437.0,1
Mirpurkhas,363814661.63,1268109.0,1
Spectrum Medical Supplies,344436014.23,3043933.0,1
Al-Fateh Medicine Company,329451368.49,1059151.0,1
Kasur,319802853.71,1115432.0,1
Talha Traders,316246896.7726,2696211.42,1
Pulse Care Traders,314708225.48,994585.0,1
M. Abdullah Enterprises,314068971.53,1310187.0,1
Khanewal,310908323.58,1038869.0,1
Haripur,309573270.28000003,1031649.0,1
Bahawalnagar,307653644.13,984583.0,1
Attock,303644641.76,1025316.0,1
Jacobabad,302298809.96,976529.0,1
Khan Sehat Ltd,300007329.15,3574753.0,1
Chakwal,293815268.15,992959.0,1
Medicate  International,285291415.55,4693503.491,1
Ghotki,283134171.27,901415.0,1
Nusrat Pharma - Kotli,275320063.53,770449.0,1
Dadu,271748756.15,872566.0,1
Umerkot,267666856.96,916350.0,1
Junaid Medicose Distributors,254831875.0,7711.0,1
Layyah,254510953.04,720596.0,1
Sultan Supplies Services,248796291.14000002,827557.0,1
Mandi Bahaudi,229875535.13,762098.0,1
Gujjar Khan,212908540.5,716111.0,1
Ahmad Enterprises,194634452.93,666490.0,1
Sitech Pharmaceuticals (Pvt.) Ltd.,192554812.0,2108517.0,1
Crystal Agencies,185560533.6025,856317.36,1
Inactive - Nusrat Pharma,184744232.01,633558.0,1
Naushero Fero,173136371.56,569886.0,1
Amin Enterprises,165323033.14000002,590371.0,1
Narowal,160611883.2,521984.0,1
"Moic - Cpmc, Medical Store",159937376.36,2917112.0,1
Shahdadpur,154894351.81,532524.0,1
Asian Continental (Pvt) Limited,152996872.4,8353655.0,1
Hazz International - Karachi,151527974.16,52980.0,1
Ms Cpeic Multan,145204582.0895,44251.079,1
Noor Medicine Company,144404488.44,501472.0,1
Hafizabad,143585158.91,471805.0,1
