Product,Y2022,Y2023,Y2024,Y2025,Rev2024,Rev2025,Growth,GrowthAbs
2974672-3 PROBE COVERS GT,0.0,4983.210000000001,0.0,0.0,0.0,0.0,0.0,0.0
91794 OMRON NEBKIT D,0.0,11095.05,0.0,0.0,0.0,0.0,0.0,0.0
ACOBMIN INJ. IV/IM CP (AFG) 1X10'S,0.0,364204.1,207830.28,915356.22,207830.28,915356.22,340.4344833678711,707525.94
ACOBMIN TAB. CP 30'S (AFG) 1X30'S,0.0,324911.8,189288.96,281778.75,189288.96,281778.75,48.861692726295296,92489.79
ACTIFLOR SAC. 250MG CP (AFG) 1X10'S,0.0,0.0,591646.36,973612.28,591646.36,973612.28,64.55983604800679,381965.92
ACTIFLOR SAC. 250MG CP (MMR) 1X10'S,0.0,1508.8000000000002,0.0,755.2,0.0,755.2,0.0,755.2
ACTIFLOR SAC. 250MG CP 1X10'S,25078123.57,49248962.41,58821831.13,57826128.440000005,58821831.13,57826128.440000005,-1.692743443840487,-995702.6899999976
ACTNISE CRM. 50GM CP 1X1'S,15732632.56,29649694.8,27499261.28,53708763.11,27499261.28,53708763.11,95.30983964671795,26209501.83
AD FOLIC OD TAB. 600MCG CP,350.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AD FOLIC OD TAB. 600MCG CP (AFG) 3X10’S,0.0,0.0,-12341.62999999999,0.0,-12341.62999999999,0.0,0.0,12341.62999999999
AD FOLIC OD TAB. 600MCG CP 3X10'S,62783702.17,118079080.12,182822023.43,237328403.14,182822023.43,237328403.14,29.813902443142858,54506379.70999998
AD FOLIC OD TAB. 600MCG PS 2'S,418200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AD FOLIC TAB. CP,0.0,198.42,0.0,0.0,0.0,0.0,0.0,0.0
AD FOLIC TAB. CP  (UZB) 3X10’S,0.0,0.0,6388.2,-4811.699999999999,6388.2,-4811.699999999999,-175.32168686014836,-11199.899999999998
AD FOLIC TAB. CP 30'S (AFG) 3X10’S,0.0,0.0,152822.02,110112.42,152822.02,110112.42,-27.947281419261433,-42709.59999999999
AD FOLIC TAB. CP 3X10'S,39234045.28,71950147.43,94578348.23,120543357.38,94578348.23,120543357.38,27.453439012126836,25965009.14999999
AD FOLIC TAB. PS 2'S,175907.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AD-D CHEWABLE TAB. 10000IU CP (AFG) 8'S,0.0,0.0,461.2799999999989,81528.73999999999,461.2799999999989,81528.73999999999,17574.45802983008,81067.45999999999
AD-D CHEWABLE TAB. 10000IU CP 1X8'S,1323486.9,1558398.47,2389253.36,2867183.37,2389253.36,2867183.37,20.003320618956888,477930.0100000002
AD-D CHEWABLE TAB. 10000IU PS 1'S,108263.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AD-D CHEWABLE TAB. 2000IU CP (AFG) 1X30’,0.0,0.0,957.25,118261.4,957.25,118261.4,12254.285714285714,117304.15
AD-D CHEWABLE TAB. 2000IU CP 1X30'S,2175113.26,2818235.57,4500563.26,4996100.16,4500563.26,4996100.16,11.010552932434514,495536.9000000004
AD-D CHEWABLE TAB. 2000IU PS 1'S,244719.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGOVIZ TAB. 25MG CP 2X7'S,10457546.71,23065742.89,39059957.01,41443799.88,39059957.01,41443799.88,6.103035058102346,2383842.870000005
AIRCARE DPI DEVICE CP 1X1'S,0.0,10900949.16,5495529.02,0.0,5495529.02,0.0,-100.0,-5495529.02
AIRCARE PLUS DPI DEVICE CP (AFG) 1'S,0.0,0.0,0.0,65569.0,0.0,65569.0,0.0,65569.0
AIRCARE PLUS DPI DEVICE CP 1X1'S,0.0,0.0,10378181.94,18064198.75,10378181.94,18064198.75,74.05937624176977,7686016.81
AIREEZ SAC. 4MG CP (AFG) 1X14'S,0.0,0.0,482146.38,0.0,482146.38,0.0,-100.0,-482146.38
AIREEZ SAC. 4MG CP (CMB),0.0,646.38,0.0,2025.6,0.0,2025.6,0.0,2025.6
AIREEZ SAC. 4MG CP (VNM),38485.0,64170.17,3832.92,11715.66,3832.92,11715.66,205.65887104348644,7882.74
AIREEZ SAC. 4MG CP 1X14'S,4226469.59,10207860.43,15595768.08,17177167.7,15595768.08,17177167.7,10.139927779690343,1581399.6199999992
AIREEZ TAB. 10MG CP (AFG) 3X10'S,0.0,0.0,107097.21,0.0,107097.21,0.0,-100.0,-107097.21
