Material Name,2024.0,2025.0,Growth,Status
ACOBMIN INJ. IV/IM CP (AFG) 1X10'S,21595.0,0.0,-100.0,🔴 Critical
ACOBMIN TAB. CP 30'S (AFG) 1X30'S,0.0,0.0,0.0,✅ Stable
ACTIFLOR SAC. 250MG CP (AFG) 1X10'S,15188.75,25584.26,68.44216936877622,🚀 Growing
ACTIFLOR SAC. 250MG CP (MMR) 1X10'S,0.0,755.2,75520.0,🚀 Growing
ACTIFLOR SAC. 250MG CP 1X10'S,53208756.03,51170057.31,-3.8315098343034855,✅ Stable
ACTNISE CRM. 50GM CP 1X1'S,24049801.279999997,42724182.81,77.64879764528352,🚀 Growing
AD FOLIC OD TAB. 600MCG CP (AFG) 3X10’S,0.0,0.0,0.0,✅ Stable
AD FOLIC OD TAB. 600MCG CP 3X10'S,121846064.75,162801033.22,33.61205678166967,🚀 Growing
AD FOLIC TAB. CP  (UZB) 3X10’S,0.0,0.0,0.0,✅ Stable
AD FOLIC TAB. CP 30'S (AFG) 3X10’S,1318.08,0.0,-100.0,🔴 Critical
AD FOLIC TAB. CP 3X10'S,77529737.48,103558553.78,33.572687263018956,🚀 Growing
AD-D CHEWABLE TAB. 10000IU CP (AFG) 8'S,0.0,0.0,0.0,✅ Stable
AD-D CHEWABLE TAB. 10000IU CP 1X8'S,2389253.36,2867183.37,20.003320618956888,🚀 Growing
AD-D CHEWABLE TAB. 2000IU CP (AFG) 1X30’,0.0,0.0,0.0,✅ Stable
AD-D CHEWABLE TAB. 2000IU CP 1X30'S,4517883.76,4996100.16,10.584964673814458,✅ Stable
AGOVIZ TAB. 25MG CP 2X7'S,39222500.58,39702567.01,1.2239567159182887,✅ Stable
AIRCARE DPI DEVICE CP 1X1'S,4343439.02,0.0,-100.0,🔴 Critical
AIRCARE PLUS DPI DEVICE CP (AFG) 1'S,0.0,0.0,0.0,✅ Stable
AIRCARE PLUS DPI DEVICE CP 1X1'S,5619561.94,11085411.25,97.26468661363307,🚀 Growing
AIREEZ SAC. 4MG CP (AFG) 1X14'S,6697.8,0.0,-100.0,🔴 Critical
AIREEZ SAC. 4MG CP (CMB),0.0,0.0,0.0,✅ Stable
AIREEZ SAC. 4MG CP (VNM),263.52000000000004,0.0,-100.0,🔴 Critical
AIREEZ SAC. 4MG CP 1X14'S,15200002.48,17201670.65,13.168867390868991,✅ Stable
AIREEZ TAB. 10MG CP (AFG) 3X10'S,0.0,0.0,0.0,✅ Stable
AIREEZ TAB. 10MG CP (IQ) 30'S,0.0,0.0,0.0,✅ Stable
AIREEZ TAB. 10MG CP (KEN),0.0,0.0,0.0,✅ Stable
AIREEZ TAB. 10MG CP (MDV) 30'S,0.0,712.5,71250.0,🚀 Growing
AIREEZ TAB. 10MG CP 3X10'S,77864157.51,135799375.65,74.40550311298166,🚀 Growing
AIREEZ TAB. 5MG CP (KEN),0.0,0.0,0.0,✅ Stable
AIREEZ TAB. 5MG CP 3X10'S,4515231.51,7956561.8,76.21603194384157,🚀 Growing
AIREEZ TAB.10MG CP PUNJAB GREEN 3X10'S,0.0,213267.08000000002,21326708.0,🚀 Growing
ANEX TAB. 550MG CP (GTM) 1X2'S,0.0,0.0,0.0,✅ Stable
ANEX TAB. 550MG CP (GTM) 3X10'S,4605.36,0.0,-100.0,🔴 Critical
ANEX-M TAB. 85/500MG CP (AFG) 1X2'S,0.0,29439.63,2943963.0,🚀 Growing
ANEX-M TAB. 85/500MG CP 1X2'S,7288693.5,10441617.81,43.25774310581177,🚀 Growing
ANPLAG TAB. 60MG CP 2X7'S,11832197.69,16685367.89,41.01664227687529,🚀 Growing
ANPLAG TAB. 90MG 100X10'S RIC INST.GREEN,0.0,0.0,0.0,✅ Stable
ANPLAG TAB. 90MG CP (GTM) 2'S,0.0,0.0,0.0,✅ Stable
ANPLAG TAB. 90MG CP (GTM) 30'S,0.0,0.0,0.0,✅ Stable
ANPLAG TAB. 90MG CP (IQ) 30'S,0.0,0.0,0.0,✅ Stable
ANPLAG TAB. 90MG CP (SLK) 3X10'S,0.0,14543.36,1454336.0,🚀 Growing
ANPLAG TAB. 90MG CP 2X10'S,26402491.72,33348935.98,26.309805656479163,🚀 Growing
APREP CAP. 125MG CP 1'S,0.0,0.0,0.0,✅ Stable
APREP CAP. 80MG CP 1X2'S,117600.0,0.0,-100.0,🔴 Critical
APREP CAP. 80MG/125MG CP COMBO PACK,0.0,0.0,0.0,✅ Stable
ARBI TAB. 150MG CP (CMB),0.0,0.0,0.0,✅ Stable
ARBI TAB. 150MG CP (GTM) 1X2'S,0.0,0.0,0.0,✅ Stable
ARBI TAB. 150MG CP (GTM) 3X10'S,1997.16,0.0,-100.0,🔴 Critical
ARBI TAB. 150MG CP (IQ) 30'S,0.0,0.0,0.0,✅ Stable
ARBI TAB. 150MG CP (SLK) 1X10'S,0.0,75.60000000000001,7560.000000000001,🚀 Growing
ARBI TAB. 150MG CP 1X10'S,26636865.15,27571158.2,3.5075187892371065,✅ Stable
ARBI TAB. 150MG CP SPC (SLK) 1X10'S,0.0,0.0,0.0,✅ Stable
ARBI TAB. 150MG PS (SLK) 4'S,0.0,0.0,0.0,✅ Stable
ARBI TAB. 300MG CP (CMB),0.0,0.0,0.0,✅ Stable
ARBI TAB. 300MG CP (GTM) 1X2'S,0.0,0.0,0.0,✅ Stable
ARBI TAB. 300MG CP (GTM) 3X10'S,1936.44,0.0,-100.0,🔴 Critical
ARBI TAB. 300MG CP (IQ) 30'S,0.0,0.0,0.0,✅ Stable
ARBI TAB. 300MG CP (SLK),735.69,0.0,-100.0,🔴 Critical
ARBI TAB. 300MG CP 1X10'S,16210289.42,16710256.36,3.084256715263505,✅ Stable
ARBI TAB. 300MG PS (SLK) 4'S,0.0,0.0,0.0,✅ Stable
ARBI-A TAB. 100/10MG CP 1X10'S,4502763.78,3701752.52,-17.789324493500306,⚠️ Declining
ARBI-A TAB. 100/5MG CP 1X10'S,6101318.13,8850505.96,45.05891630994172,🚀 Growing
ARBI-D TAB. 150/12.5MG CP (IQ) 30'S,1225.98,0.0,-100.0,🔴 Critical
ARBI-D TAB. 150/12.5MG CP 1X10'S,41668611.71,48136090.46,15.521224453100455,✅ Stable
ARBI-D TAB. 150MG/12.5MG CP (GTM) 1X2'S,0.0,0.0,0.0,✅ Stable
ARBI-D TAB. 150MG/12.5MG CP (GTM) 3X10'S,0.0,2331.79,233179.0,🚀 Growing
ARBI-D TAB. 300/12.5MG CP (GTM) 1X2'S,0.0,0.0,0.0,✅ Stable
ARBI-D TAB. 300/12.5MG CP (GTM) 30'S,0.0,0.0,0.0,✅ Stable
ARBI-D TAB. 300/12.5MG CP (IQ) 30'S,0.0,0.0,0.0,✅ Stable
ARBI-D TAB. 300/12.5MG CP 1X10'S,35330909.98,39224711.42,11.02094863167746,✅ Stable
ARBI-D TAB. 300/25MG CP (IQ) 28'S,0.0,0.0,0.0,✅ Stable
ARBI-D TAB. 300/25MG CP 2X7'S,7775723.67,7967297.22,2.463739172459556,✅ Stable
AVSAR PLUS 160/10/12.5MG CP (BDI) 4X7'S,0.0,0.0,0.0,✅ Stable
AVSAR PLUS 160/5/12.5MG CP (BDI) 4X7'S,0.0,0.0,0.0,✅ Stable
AVSAR PLUS TAB 160/10/12.5MG CP (GHN) 28,0.0,0.0,0.0,✅ Stable
AVSAR PLUS TAB 160/5/12.5MG CP (GHN) 28S,1631.85,0.0,-100.0,🔴 Critical
AVSAR PLUS TAB. 160/10/12.5MG CP (AFG),109031.88,0.0,-100.0,🔴 Critical
AVSAR PLUS TAB. 160/10/12.5MG CP (KEN),0.0,22.11,2211.0,🚀 Growing
