Yr,Mo,FiscalYear,Revenue,Qty
2022,7,FY22-23,608456099.52,3396673.0
2022,8,FY22-23,763598773.24,4147654.41
2022,9,FY22-23,820731681.648,4163226.668
2022,10,FY22-23,899537226.3355,4515348.252
2022,11,FY22-23,902531526.601,4926760.864
2022,12,FY22-23,949821482.674,5243672.328
2023,1,FY22-23,879501637.25,4252785.605
2023,2,FY22-23,801006766.1143,4378415.066
2023,3,FY22-23,911981813.0,5132203.56
2023,4,FY22-23,743566060.14,3606092.0
2023,5,FY22-23,770248378.5195,3987642.666
2023,6,FY22-23,918650814.514,4899870.07
2023,7,FY23-24,869632132.33,4264034.0
2023,8,FY23-24,1076297097.82,4864093.0
2023,9,FY23-24,1098854622.8995,4805540.021
2023,10,FY23-24,1096101981.30523,4823468.163
2023,11,FY23-24,988917143.68488,5147510.99
2023,12,FY23-24,1048371952.031,4542055.982
2024,1,FY23-24,1181950893.064,5438175.855
2024,2,FY23-24,1017371311.7744,4743018.767
2024,3,FY23-24,1063074235.1505,4933621.435
2024,4,FY23-24,1023920679.12,4521399.0
2024,5,FY23-24,1095301532.39,5878888.0
2024,6,FY23-24,1073237505.62,5581498.0
2024,7,FY24-25,1089682883.34202,4161164.858
2024,8,FY24-25,1370073788.48,5137543.0
2024,9,FY24-25,1285169493.46,5476654.66
2024,10,FY24-25,1508166557.08617,6166915.136
2024,11,FY24-25,1502990546.20881,5639511.147
2024,12,FY24-25,1381559236.99692,5166748.824
2025,1,FY24-25,1491864960.2038,5753247.56
2025,2,FY24-25,1454062089.8058,6074673.95
2025,3,FY24-25,1456658860.2024,5582238.13
2025,4,FY24-25,1480333380.8986,5197404.79
2025,5,FY24-25,1516928175.9143,5315717.35
2025,6,FY24-25,1622752886.853,6211393.2
2025,7,FY25-26,1437844024.0072,4671596.12
2025,8,FY25-26,1367442615.572,5081083.1
2025,9,FY25-26,2065468529.1356,6755855.19
2025,10,FY25-26,1866038217.22132,6586652.207
2025,11,FY25-26,1926442618.4981,7043454.498
2025,12,FY25-26,1497213269.59644,5736785.854
