Product,Revenue,Qty,Rows
LOWPLAT TAB. 75MG CP 1X10'S,2353177859.99,16392699.0,8613
LOWPLAT PLUS TAB. 75/75MG CP 1X10'S,2248192233.92,19235548.0,8631
X-PLENDED TAB. 10MG CP 1X10'S,2090645367.46,10244535.0,9250
AVSAR TAB. 80/5MG CP 2X7'S,1859566830.54,7337927.0,8526
GOURIC TAB. 40MG CP 2X10'S,1640144929.6200001,4654185.0,7576
X-PLENDED TAB. 20MG CP 1X10'S,1607913772.02,5631591.0,8321
INOSITA PLUS TAB. 50/500MG CP 4X7'S,1577466438.75,3037253.0,7856
NISE TAB. 100MG CP 2X10'S,1496386997.25,11164259.0,7762
ORSLIM CAP. 120MG CP 3X10'S,1491039385.98,1077967.0,5461
AVSAR TAB. 160/10MG CP 2X7'S,977763394.86,2500912.0,6615
SACVIN TAB. 50MG CP 3X10'S,882285008.9,1103136.0,6724
ESTAR TAB. 10MG CP 2X7'S,854873155.98,3171108.0,6156
AVSAR TAB. 160/5MG CP 2X7'S,780628575.62,2482286.0,6817
"OPT-D CAP. 200,000IU CP 1X1'S",722532531.78,3877676.0,7177
INOSITA PLUS TAB. 50/1000MG CP 4X7'S,709975191.45,1427609.0,6294
GOURIC TAB. 80MG CP 2X10'S,682157604.45,1088020.0,5304
ANPLAG TAB. 90MG CP 2X10'S,666894514.02,810205.0,4351
AD FOLIC OD TAB. 600MCG CP 3X10'S,601013208.86,1541025.0,5295
EVOCHECK GM700S BGM TEST STRIPS 2X25'S,580529051.69,379394.0,3577
RAMIPACE TAB. 2.5MG CP 2X14'S,547615844.14,1554956.0,6402
AVSAR PLUS TAB. 160/10/12.5MG CP 4X7'S,542265273.21,1586167.0,6147
EVOPRIDE PLUS TAB. 2/500MG CP 3X10'S,536698584.01,1765130.0,5898
KALSOB TAB. CP 1X30'S,521945695.76,1625891.0,6665
AVSAR PLUS TAB. 160/5/12.5MG CP 4X7'S,496768199.49,1688079.0,6052
XCEPT TAB. 10MG CP 1X10'S,488518403.14,1737640.0,6147
INOSITA PLUS TAB. 50/850MG CP 4X7'S,435903246.33,714794.0,5383
INOSITA PLUS XR TAB. 50/500MG CP 2X7'S,408712835.3,1398800.0,5884
TRASZEPTIN 440MG INJ. 1X1'S,399332541.25,9507.0,1044
ESTAR TAB. 5MG CP 2X7'S,396193293.83,1804787.0,5795
RITUXIM INJ. 500MG/50ML 1X1'S,393396392.49,10886.0,1121
BYVAS TAB. 5MG CP 2X7'S,387160151.2,1857830.0,6065
ONITA SAC. 2G CP 1X7'S,386005504.0,499851.0,4697
FERFER SAC. CP 1X30'S,383397634.49,960756.0,5655
XCEPT TAB. 20MG CP 2X7'S,380401130.51,681956.0,4798
OMRON M1 BASIC BPM HEM-7121,379374161.18,55580.0,1206
K-1000 TAB. CP 1X30'S,379310877.93,977311.0,5412
RAMIPACE TAB. 5MG CP 2X14'S,378150197.78000003,869200.0,5793
FEMOVA SAC. CP 1X10'S,361871285.02,506799.0,4436
XCEPT TAB. 15MG CP 2X7'S,345162145.56,724060.0,4847
X-PLENDED TAB. 5MG CP 1X10'S,326632010.47,2603342.0,6980
AD FOLIC TAB. CP 3X10'S,326305898.32,1209455.0,5053
ZOLTAR INJ. 40MG CP 1X1'S,311774981.49,1439441.0,2581
