SDP Name,Revenue,Qty,Products,City
PREMIER SALES PVT LTD-LAHORE,3593783871.09,11454454.0,246,Lahore
PREMIER SALES PVT LTD-PESHAWAR,2597234698.7,8437800.0,241,Peshawar
PREMIER SALES PVT LTD-KORANGI,2061475599.83,9420710.0,256,Korangi
PREMIER SALES PVT LTD-RAWALPINDI,1957265010.27,6193270.0,244,Rawalpindi
PREMIER SALES PVT LTD-FAISALABAD,1606882105.67,5205517.0,239,Faisalabad
PREMIER SALES PVT LTD-FB AREA,1598506036.09,7787178.0,246,Fb Area
PREMIER SALES PVT LTD-SWAT,1491734654.94,5068739.0,239,Swat
PREMIER SALES PVT LTD-ISLAMABAD,1273493400.17,3791561.0,243,Islamabad
PREMIER SALES PVT LTD-MULTAN,1141522617.96,3867455.0,238,Multan
PREMIER SALES PVT LTD-QUETTA,1115516680.92,3739111.0,237,Quetta
PREMIER SALES PVT LTD-HYDERABAD,1062657418.5600001,3603637.0,232,Hyderabad
PREMIER SALES PVT LTD-SIALKOT,873960538.28,2923007.0,221,Sialkot
PREMIER SALES PVT LTD-MARDAN,835957148.08,2841224.0,226,Mardan
PREMIER SALES PVT LTD-GUJRANWALA,811335668.48,2586640.0,239,Gujranwala
PREMIER SALES PVT LTD-FATEH GARH-LH,808249726.93,2671038.0,231,Fateh Garh-Lh
PREMIER SALES PVT LTD-S.I.T.E AREA,806523327.38,4112525.0,229,S.I.T.E Area
PREMIER SALES PVT LTD-SARGODHA,806386502.8100001,2725624.0,236,Sargodha
PREMIER SALES PVT LTD-BANNU,779133459.95,2610608.0,229,Bannu
PREMIER SALES PVT LTD-JHANG,775049727.7,2596758.0,228,Jhang
PREMIER SALES PVT LTD-SUKKUR,723378928.09,2464738.0,228,Sukkur
PREMIER SALES PVT LTD-R.Y.KHAN,629861293.12,2101950.0,230,R.Y.Khan
PREMIER SALES PVT LTD-SAHIWAL,616244823.47,2100924.0,230,Sahiwal
PREMIER SALES PVT LTD-D.G.KHAN,603135786.93,1934426.0,228,D.G.Khan
PREMIER SALES PVT LTD-LARKANA,584194493.95,2060955.0,224,Larkana
PREMIER SALES PVT LTD-JHELUM,574498529.95,2005845.0,226,Jhelum
PREMIER SALES PVT LTD-NAWABSHAH,545974634.28,1911033.0,225,Nawabshah
ATIF DISTRIBUTOR,530033782.35,1669493.0,225,Atif Distributor
PREMIER SALES PVT LTD-SHEIKHUPURA,522427904.45,1735442.0,220,Sheikhupura
PREMIER SALES PVT LTD-BAHAWALPUR,521323087.99,1622040.0,233,Bahawalpur
PREMIER SALES PVT LTD-KOHAT,518557858.09,1561736.0,233,Kohat
PREMIER SALES PVT LTD-TIMERGARA,493908049.92,1510425.0,221,Timergara
PREMIER SALES PVT LTD-MUZAFFARABAD,486133845.33,1769271.0,221,Muzaffarabad
PREMIER SALES PVT LTD-ABBOTTABAD,464514916.75,1447470.0,234,Abbottabad
PREMIER SALES PVT LTD-GUJRAT,449066986.86,1425693.0,227,Gujrat
PREMIER SALES PVT LTD-HASSAN ABDAL,447275701.97,1449229.0,227,Hassan Abdal
