Material Name,TotalQty,Months,Revenue,QtyPerMonth
ACTIFLOR SAC. 250MG CP 1X10'S,267054.0,12,104378813.34,22254.5
ACTNISE CRM. 50GM CP 1X1'S,232329.0,12,66773984.089999996,19360.75
AD FOLIC OD TAB. 600MCG CP 3X10'S,659534.0,12,284647097.97,54961.166666666664
AD FOLIC TAB. CP 3X10'S,586699.0,12,181088291.26,48891.583333333336
AGOVIZ TAB. 25MG CP 2X7'S,130100.0,12,78925067.59,10841.666666666666
AIRCARE PLUS DPI DEVICE CP 1X1'S,51719.0,12,16704973.19,4309.916666666667
AIREEZ SAC. 4MG CP 1X14'S,122975.0,12,32401673.13,10247.916666666666
AIREEZ TAB. 10MG CP 3X10'S,496425.0,12,213663533.16,41368.75
AIREEZ TAB. 5MG CP 3X10'S,35459.0,12,12471793.31,2954.9166666666665
ANEX-M TAB. 85/500MG CP 1X2'S,69363.0,11,17730311.31,6305.727272727273
ANPLAG TAB. 60MG CP 2X7'S,53157.0,12,28517565.58,4429.75
ANPLAG TAB. 90MG CP 2X10'S,472871.0,12,59751427.7,39405.916666666664
ARBI TAB. 150MG CP 1X10'S,208672.0,12,54208023.35,17389.333333333332
ARBI TAB. 300MG CP 1X10'S,90592.0,12,32920545.78,7549.333333333333
ARBI-A TAB. 100/5MG CP 1X10'S,66787.0,12,14951824.09,5565.583333333333
ARBI-D TAB. 150/12.5MG CP 1X10'S,285367.0,12,89804702.17,23780.583333333332
ARBI-D TAB. 300/12.5MG CP 1X10'S,174810.0,12,74555621.39999999,14567.5
ARBI-D TAB. 300/25MG CP 2X7'S,24081.0,12,15743020.89,2006.75
AVSAR PLUS TAB. 160/10/12.5MG CP 4X7'S,803502.0,12,295407026.7,66958.5
AVSAR PLUS TAB. 160/10/25MG CP 4X7'S,241472.0,12,87038903.18,20122.666666666668
AVSAR PLUS TAB. 160/5/12.5MG CP 4X7'S,874757.0,12,282481904.95,72896.41666666667
AVSAR PLUS TAB. 160/5/25MG CP 4X7'S,93339.0,12,32788591.5,7778.25
AVSAR PLUS TAB. 320/10/25MG CP 4X7'S,87607.0,12,38380701.56,7300.583333333333
AVSAR TAB. 160/10MG CP 2X7'S,998656.0,12,435803711.28000003,83221.33333333333
AVSAR TAB. 160/5MG CP 2X7'S,981728.0,12,355340024.73,81810.66666666667
AVSAR TAB. 80/5MG CP 2X7'S,1034419.0,12,289988853.98,86201.58333333333
BUSONIDE CAP. 200/6 MCG CP 3X10'S,121728.0,12,31442045.59,10144.0
BUSONIDE CAP. 400/12 MCG CP 3X10'S,585367.0,12,187585968.03,48780.583333333336
BYVAS TAB. 10MG CP 2X7'S,103188.0,12,35920530.33,8599.0
BYVAS TAB. 2.5MG CP 2X7'S,833524.0,12,135817051.14,69460.33333333333
BYVAS TAB. 5MG CP 2X7'S,960069.0,12,215061263.08,80005.75
DAPWIZ PLUS XR TAB. 10/1000MG CP 2X7'S,36925.0,12,13655915.24,3077.0833333333335
DAPWIZ PLUS XR TAB. 10/500MG CP 2X7'S,29378.0,12,10481453.02,2448.1666666666665
DAPWIZ PLUS XR TAB. 5/500MG CP 2X7'S,59523.0,12,18397679.54,4960.25
DAPWIZ TAB. 10MG CP 1X10'S,418322.0,12,104875373.62,34860.166666666664
DAPWIZ TAB. 5MG CP 1X10'S,216692.0,12,36815874.57,18057.666666666668
DIPOF CAP. 3/25MG CP 2X10'S,163965.0,12,26565990.2,13663.75
DIPOF CAP. 6/25MG CP 2X10'S,58551.0,12,17221370.39,4879.25
DIU TANSIN TAB. 50/12.5MG CP 1X10'S,220216.0,12,36850506.91,18351.333333333332
DUZALTA CAP. 20MG CP 2X7'S,261137.0,12,109636731.7,21761.416666666668
DUZALTA CAP. 30MG CP 2X7'S,377504.0,12,172881017.16,31458.666666666668
DUZALTA CAP. 60MG CP 1X10'S,93949.0,12,43084885.36,7829.083333333333
EGLARO-S TAB. 15/100MG CP 2X7'S,253794.0,12,128652593.97,21149.5
EGLARO-S TAB. 5/100MG CP 2X7'S,89438.0,12,41850501.339999996,7453.166666666667
ERLI PLUS TAB. 12.5/1000MG CP 2X7'S,174491.0,12,37230527.27,14540.916666666666
ERLI PLUS TAB. 12.5/500MG CP 2X7'S,362399.0,12,56893021.51,30199.916666666668
ERLI PLUS TAB. 12.5/850MG CP 2X7'S,133359.0,12,29638648.0,11113.25
ERLI PLUS TAB. 5/500MG CP 2X7'S,67170.0,12,12448927.64,5597.5
ERLI PLUS XR TAB. 10/1000MG CP 2X7'S,99199.0,12,35112068.730000004,8266.583333333334
ERLI PLUS XR TAB. 12.5/1000MG CP 2X7'S,360068.0,12,126981144.7,30005.666666666668
ERLI PLUS XR TAB. 25/1000MG CP 2X7'S,218582.0,12,97934158.73,18215.166666666668
ERLI PLUS XR TAB. 5/1000MG CP 2X7'S,56158.0,12,15741269.55,4679.833333333333
ERLI TAB. 10MG CP 2X7'S,565775.0,12,140877392.3,47147.916666666664
ERLI TAB. 25MG CP 2X7'S,291387.0,12,117042469.47,24282.25
ERLINA PLUS XR TAB. 10/5/1000MG CP 2X7'S,97154.0,12,18728367.31,8096.166666666667
ERLINA PLUS XR TAB. 25/5/1000MG CP 2X7'S,104767.0,12,24100421.68,8730.583333333334
